Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,списание средств,1752.68,наличный,Гомель,Беларусбанк-WMGJ-434,29-08-2012,04:50:34,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,4016.36,наличный,Гомель,МаксБанк-DFYZ-659,30-03-2017,19:13:48,успешно,нет,0.0
юр. лицо,списание средств,4009.61,безналичный,Гродно,Беларусбанк-PGWR-698,16-02-2000,16:35:07,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,345.78,наличный,Минск,МаксБанк-IFWH-256,03-09-2001,06:08:58,успешно,нет,0.0
физ. лицо,списание средств,4698.85,наличный,Могилев,БелАгропромбанк-XIBP-840,22-01-2014,07:21:47,успешно,да,354.03
юр. лицо,получение средств,2262.12,безналичный,Минск,Приорбанк-SCFG-968,03-09-2020,23:49:04,успешно,нет,0.0
физ. лицо,списание средств,760.1,безналичный,Минск,МаксБанк-AVCS-349,12-11-2023,04:21:06,недостаточно средств,нет,0.0
юр. лицо,списание средств,2340.06,наличный,Гродно,Приорбанк-URGR-472,13-02-2014,19:10:09,неправильный ввод пин-кода,да,123.21
физ. лицо,списание средств,1555.84,безналичный,Минск,Приорбанк-CEYT-504,13-05-2010,22:14:50,недостаточно средств,да,143.39
юр. лицо,получение средств,4038.61,наличный,Минск,Беларусбанк-UXTL-660,15-08-2018,13:16:46,успешно,нет,0.0
юр. лицо,списание средств,4421.84,наличный,Витебск,МаксБанк-CMOI-303,17-11-2001,06:50:56,успешно,да,134.9
юр. лицо,списание средств,1880.34,наличный,Брест,Белинвестбанк-LJZM-780,11-09-2016,22:13:15,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,6.41,наличный,Минск,Приорбанк-XFNZ-984,10-07-2022,08:11:18,успешно,нет,0.0
юр. лицо,получение средств,14.94,наличный,Гродно,Приорбанк-FYIO-466,11-03-2023,18:53:43,успешно,нет,0.0
физ. лицо,списание средств,3149.25,наличный,Витебск,Приорбанк-LPGI-415,17-11-2013,07:18:18,успешно,да,36.63
физ. лицо,получение средств,231.72,наличный,Гомель,Белинвестбанк-ZNDJ-677,10-10-2003,19:31:45,успешно,нет,0.0
юр. лицо,списание средств,3304.96,наличный,Витебск,БелАгропромбанк-KZKT-091,01-10-2005,00:03:36,недостаточно средств,нет,0.0
юр. лицо,получение средств,674.42,наличный,Гомель,МаксБанк-QSTO-653,16-05-2004,14:58:54,успешно,нет,0.0
юр. лицо,списание средств,2666.79,безналичный,Минск,Беларусбанк-QZIM-080,12-03-2012,09:47:38,успешно,нет,0.0
физ. лицо,списание средств,1261.57,наличный,Гродно,Беларусбанк-PHBF-558,14-07-2024,15:12:26,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4593.0,безналичный,Гомель,БелАгропромбанк-SQRU-392,17-10-2009,18:52:11,успешно,нет,0.0
юр. лицо,списание средств,4339.95,наличный,Витебск,Белинвестбанк-XINV-209,28-05-2010,22:45:12,недостаточно средств,нет,0.0
физ. лицо,получение средств,2008.93,наличный,Гродно,МаксБанк-FCUI-934,11-10-2001,02:24:54,успешно,нет,0.0
юр. лицо,получение средств,3471.07,наличный,Могилев,Беларусбанк-FSAM-489,28-10-2002,09:27:30,успешно,нет,0.0
юр. лицо,списание средств,3951.33,наличный,Могилев,МаксБанк-RYDH-573,05-06-2005,19:44:56,успешно,нет,0.0
юр. лицо,получение средств,4776.28,наличный,Могилев,Приорбанк-DEDE-235,15-09-2013,17:37:44,успешно,нет,0.0
юр. лицо,получение средств,80.38,безналичный,Витебск,БелАгропромбанк-PJES-312,12-12-2024,07:04:58,успешно,нет,0.0
физ. лицо,списание средств,2230.74,безналичный,Гомель,Беларусбанк-KPAY-126,30-12-2007,06:09:34,успешно,да,29.3
физ. лицо,получение средств,3411.09,наличный,Могилев,БелАгропромбанк-WKEO-783,28-09-2003,12:28:00,успешно,нет,0.0
юр. лицо,списание средств,3322.93,безналичный,Гродно,Приорбанк-MPTK-550,25-07-2015,01:41:32,успешно,нет,0.0
юр. лицо,списание средств,3562.53,наличный,Витебск,Беларусбанк-FCQV-814,11-04-2009,00:17:37,неправильный ввод пин-кода,да,209.12
физ. лицо,получение средств,283.78,наличный,Могилев,Беларусбанк-XPGO-355,14-02-2019,17:28:22,успешно,нет,0.0
физ. лицо,списание средств,504.24,безналичный,Витебск,МаксБанк-KRFV-603,27-12-2009,01:03:46,успешно,да,26.21
юр. лицо,получение средств,3651.66,безналичный,Витебск,БелАгропромбанк-ERWS-369,13-12-2017,07:16:18,успешно,нет,0.0
юр. лицо,списание средств,3995.44,безналичный,Гродно,Белинвестбанк-JUTW-848,15-01-2021,23:05:46,успешно,да,306.21
юр. лицо,списание средств,4483.66,безналичный,Брест,МаксБанк-DXAC-487,22-12-2023,04:04:00,успешно,нет,0.0
физ. лицо,получение средств,3485.25,наличный,Гродно,Беларусбанк-WSHH-036,14-08-2000,12:31:05,успешно,нет,0.0
юр. лицо,списание средств,3979.94,безналичный,Гродно,БелАгропромбанк-NPRY-467,30-06-2018,02:19:05,недостаточно средств,нет,0.0
физ. лицо,списание средств,3270.0,безналичный,Брест,Беларусбанк-DPXV-285,06-04-2022,04:40:08,успешно,нет,0.0
юр. лицо,списание средств,4095.95,наличный,Могилев,Беларусбанк-LXNZ-817,29-08-2019,12:32:29,успешно,да,236.98
физ. лицо,списание средств,4074.31,наличный,Гродно,Приорбанк-WAXG-121,28-04-2004,20:53:09,неправильный ввод пин-кода,да,339.77
физ. лицо,получение средств,1501.2,наличный,Минск,БелАгропромбанк-NHJT-692,27-10-2016,22:12:13,успешно,нет,0.0
физ. лицо,получение средств,376.73,безналичный,Витебск,Беларусбанк-YPSY-038,26-12-2002,03:00:16,успешно,нет,0.0
юр. лицо,получение средств,1925.82,безналичный,Гродно,Белинвестбанк-QZXI-069,01-01-2017,20:40:02,успешно,нет,0.0
юр. лицо,списание средств,217.56,наличный,Гомель,Приорбанк-WYPB-706,08-03-2015,02:39:33,недостаточно средств,нет,0.0
юр. лицо,получение средств,3292.94,наличный,Минск,Белинвестбанк-OUBU-105,31-01-2016,14:38:45,успешно,нет,0.0
физ. лицо,списание средств,2945.45,безналичный,Могилев,Приорбанк-SHNV-659,28-02-2002,22:19:18,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1166.93,безналичный,Могилев,Беларусбанк-LBQC-396,20-04-2005,01:19:21,успешно,нет,0.0
физ. лицо,получение средств,1080.87,наличный,Минск,Белинвестбанк-QYDB-515,24-08-2014,03:59:51,успешно,нет,0.0
физ. лицо,списание средств,3057.32,безналичный,Витебск,Приорбанк-JRPX-375,10-01-2006,20:53:33,успешно,да,97.22
юр. лицо,получение средств,4854.47,безналичный,Гродно,БелАгропромбанк-SXRR-583,05-02-2007,22:08:14,успешно,нет,0.0
физ. лицо,получение средств,449.74,безналичный,Могилев,МаксБанк-NMQY-494,05-01-2003,13:16:00,успешно,нет,0.0
физ. лицо,получение средств,1610.51,наличный,Брест,Приорбанк-HSQW-870,29-03-2021,09:02:02,успешно,нет,0.0
физ. лицо,списание средств,1954.31,безналичный,Могилев,МаксБанк-CSZJ-666,13-09-2013,11:33:58,недостаточно средств,нет,0.0
юр. лицо,списание средств,3617.45,наличный,Витебск,МаксБанк-TXMW-031,22-03-2010,11:16:30,неправильный ввод пин-кода,да,93.74
юр. лицо,списание средств,4376.69,наличный,Витебск,Беларусбанк-AQUV-833,24-02-2007,04:49:03,недостаточно средств,нет,0.0
физ. лицо,получение средств,133.29,наличный,Гродно,Беларусбанк-NYXL-831,30-11-2002,11:51:27,успешно,нет,0.0
физ. лицо,списание средств,1923.77,наличный,Брест,Приорбанк-IIKM-914,06-08-2019,17:48:52,успешно,нет,0.0
физ. лицо,списание средств,2938.06,наличный,Минск,БелАгропромбанк-WWLW-434,17-02-2014,01:47:00,успешно,да,162.16
юр. лицо,получение средств,253.44,безналичный,Гомель,Беларусбанк-GRQX-296,28-07-2003,18:56:37,успешно,нет,0.0
юр. лицо,получение средств,2552.63,наличный,Гомель,Белинвестбанк-VZAQ-576,06-11-2012,21:43:32,успешно,нет,0.0
физ. лицо,списание средств,1502.45,безналичный,Гомель,Белинвестбанк-YNVK-979,07-07-2002,13:20:33,неправильный ввод пин-кода,да,134.14
физ. лицо,получение средств,3838.7,безналичный,Брест,Приорбанк-XBDJ-578,25-10-2006,14:10:57,успешно,нет,0.0
юр. лицо,списание средств,4230.94,наличный,Могилев,Белинвестбанк-XTSW-972,28-05-2019,05:30:27,успешно,нет,0.0
физ. лицо,списание средств,3075.54,безналичный,Минск,Приорбанк-IUHK-102,09-06-2008,19:24:05,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4370.47,безналичный,Гродно,Беларусбанк-QPZW-910,12-04-2001,12:50:03,неправильный ввод пин-кода,да,429.32
юр. лицо,списание средств,2697.72,наличный,Могилев,Белинвестбанк-XRYL-115,23-12-2015,13:05:01,недостаточно средств,да,55.34
юр. лицо,списание средств,1648.78,безналичный,Могилев,МаксБанк-FKPN-595,01-09-2002,20:22:29,успешно,да,127.0
юр. лицо,списание средств,4299.96,безналичный,Гродно,Беларусбанк-AOFJ-136,20-09-2014,11:23:51,успешно,нет,0.0
физ. лицо,списание средств,3411.88,наличный,Минск,БелАгропромбанк-AMUQ-585,21-03-2007,12:45:51,недостаточно средств,да,328.47
физ. лицо,получение средств,4388.21,безналичный,Могилев,Белинвестбанк-GUIL-216,23-05-2021,15:44:26,успешно,нет,0.0
физ. лицо,получение средств,4153.0,безналичный,Гомель,МаксБанк-FRLP-817,15-07-2004,16:00:47,успешно,нет,0.0
физ. лицо,получение средств,2925.34,безналичный,Минск,Приорбанк-YKSR-040,20-12-2008,13:49:25,успешно,нет,0.0
юр. лицо,получение средств,3352.02,наличный,Минск,Белинвестбанк-JNRZ-343,11-03-2015,09:33:41,успешно,нет,0.0
юр. лицо,списание средств,1611.84,наличный,Гомель,Белинвестбанк-KRMU-443,02-04-2011,22:41:27,недостаточно средств,нет,0.0
физ. лицо,списание средств,408.21,безналичный,Могилев,Беларусбанк-OSDH-227,24-09-2010,16:07:08,успешно,нет,0.0
юр. лицо,получение средств,1350.89,наличный,Гомель,Приорбанк-CYNC-848,26-02-2019,19:47:54,успешно,нет,0.0
юр. лицо,получение средств,3044.63,безналичный,Минск,Беларусбанк-TBBH-410,12-03-2000,14:32:18,успешно,нет,0.0
физ. лицо,получение средств,2930.61,безналичный,Витебск,Белинвестбанк-POBP-324,27-01-2016,19:23:05,успешно,нет,0.0
физ. лицо,получение средств,3843.25,наличный,Могилев,Белинвестбанк-ADDQ-517,18-04-2012,03:22:29,успешно,нет,0.0
физ. лицо,списание средств,3577.82,безналичный,Витебск,БелАгропромбанк-UJKG-839,23-06-2000,11:46:55,успешно,нет,0.0
физ. лицо,списание средств,2491.33,безналичный,Брест,БелАгропромбанк-RCRZ-958,27-11-2004,12:14:24,неправильный ввод пин-кода,да,139.51
физ. лицо,списание средств,2688.03,безналичный,Витебск,Белинвестбанк-YWLP-375,21-06-2013,08:38:45,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3413.72,наличный,Могилев,МаксБанк-THHR-517,24-01-2017,19:59:55,успешно,нет,0.0
физ. лицо,получение средств,2035.9,наличный,Брест,Беларусбанк-RDGM-006,23-08-2021,21:07:03,успешно,нет,0.0
юр. лицо,списание средств,316.72,безналичный,Гомель,Приорбанк-YWMA-846,02-03-2009,20:23:11,успешно,нет,0.0
юр. лицо,списание средств,4668.71,наличный,Брест,Белинвестбанк-SVCV-760,23-05-2009,20:51:36,успешно,нет,0.0
юр. лицо,получение средств,64.5,безналичный,Брест,МаксБанк-FZRS-396,11-12-2004,12:02:26,успешно,нет,0.0
юр. лицо,получение средств,1958.0,безналичный,Минск,МаксБанк-UWAH-131,21-03-2004,17:12:11,успешно,нет,0.0
юр. лицо,получение средств,1244.46,безналичный,Гомель,Беларусбанк-RDWZ-372,27-05-2010,10:07:58,успешно,нет,0.0
юр. лицо,списание средств,3061.55,безналичный,Минск,Беларусбанк-VTPF-004,12-11-2023,13:32:08,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,153.75,наличный,Гродно,БелАгропромбанк-CAWC-717,11-11-2019,23:28:10,успешно,нет,0.0
юр. лицо,получение средств,2565.11,безналичный,Брест,МаксБанк-MRKX-154,12-11-2004,00:17:24,успешно,нет,0.0
юр. лицо,списание средств,4697.56,наличный,Гомель,БелАгропромбанк-GLDC-487,03-10-2011,00:48:44,успешно,нет,0.0
физ. лицо,списание средств,310.06,безналичный,Минск,МаксБанк-WIEM-767,19-01-2006,04:46:40,недостаточно средств,да,8.69
юр. лицо,списание средств,1024.55,наличный,Могилев,Белинвестбанк-ZMXA-549,15-01-2017,10:33:55,недостаточно средств,нет,0.0
юр. лицо,списание средств,89.66,безналичный,Гродно,Приорбанк-GXJQ-349,20-12-2000,08:52:46,недостаточно средств,нет,0.0
физ. лицо,получение средств,1539.34,безналичный,Гомель,Белинвестбанк-LQBD-463,23-05-2010,14:59:57,успешно,нет,0.0
юр. лицо,списание средств,134.65,наличный,Могилев,Беларусбанк-GYSH-192,06-03-2000,17:14:12,недостаточно средств,да,10.08
физ. лицо,списание средств,2730.8,наличный,Минск,Белинвестбанк-JUJE-736,25-01-2021,17:39:06,неправильный ввод пин-кода,да,255.68
юр. лицо,списание средств,1286.1,наличный,Минск,Белинвестбанк-SYIK-374,15-09-2003,14:18:20,неправильный ввод пин-кода,да,64.33
юр. лицо,списание средств,648.08,наличный,Гомель,Беларусбанк-CIIA-691,26-03-2012,04:24:28,неправильный ввод пин-кода,да,62.17
физ. лицо,списание средств,2630.5,наличный,Гомель,Белинвестбанк-WFRY-786,12-10-2012,09:01:10,недостаточно средств,да,238.48
юр. лицо,получение средств,3579.29,безналичный,Гродно,МаксБанк-ATSR-433,22-10-2012,21:51:41,успешно,нет,0.0
физ. лицо,списание средств,3427.67,наличный,Витебск,МаксБанк-UWQJ-123,14-04-2004,19:17:56,успешно,да,247.72
юр. лицо,списание средств,3766.55,безналичный,Гомель,Белинвестбанк-LKIV-202,09-05-2002,15:37:19,успешно,нет,0.0
юр. лицо,списание средств,4006.58,наличный,Могилев,МаксБанк-XPMY-212,06-11-2023,21:26:32,недостаточно средств,нет,0.0
физ. лицо,получение средств,2263.26,наличный,Минск,Белинвестбанк-EWMX-828,15-12-2008,06:22:35,успешно,нет,0.0
юр. лицо,списание средств,4127.65,наличный,Могилев,Беларусбанк-EEIN-749,28-06-2017,01:13:59,успешно,да,157.98
юр. лицо,получение средств,638.71,безналичный,Могилев,Приорбанк-GNXT-551,13-07-2005,02:27:10,успешно,нет,0.0
юр. лицо,списание средств,1627.47,наличный,Брест,МаксБанк-QHDA-077,08-02-2022,11:55:34,неправильный ввод пин-кода,да,84.78
физ. лицо,получение средств,2400.93,безналичный,Могилев,Приорбанк-BZMR-142,14-09-2002,11:23:44,успешно,нет,0.0
физ. лицо,получение средств,658.8,безналичный,Могилев,БелАгропромбанк-XRDT-388,07-05-2017,01:57:11,успешно,нет,0.0
физ. лицо,списание средств,742.77,наличный,Витебск,МаксБанк-ZXBQ-772,15-05-2003,03:12:52,неправильный ввод пин-кода,да,55.76
физ. лицо,получение средств,4544.12,безналичный,Гродно,МаксБанк-ZHRB-510,16-07-2023,17:08:32,успешно,нет,0.0
физ. лицо,получение средств,1259.6,безналичный,Витебск,Белинвестбанк-GHNG-141,26-03-2014,02:47:58,успешно,нет,0.0
юр. лицо,получение средств,486.12,наличный,Могилев,Белинвестбанк-IQQI-156,21-10-2019,22:03:33,успешно,нет,0.0
юр. лицо,получение средств,4296.67,наличный,Витебск,Беларусбанк-HGLK-589,23-11-2019,19:25:42,успешно,нет,0.0
физ. лицо,списание средств,2597.45,наличный,Гродно,БелАгропромбанк-LVHN-800,28-01-2010,13:36:21,неправильный ввод пин-кода,да,203.2
юр. лицо,получение средств,136.35,безналичный,Витебск,Приорбанк-CZIH-726,15-12-2008,13:36:50,успешно,нет,0.0
физ. лицо,получение средств,2418.37,безналичный,Гродно,Белинвестбанк-QWYI-745,20-04-2008,05:15:10,успешно,нет,0.0
физ. лицо,списание средств,3377.45,безналичный,Брест,Беларусбанк-ATLV-530,10-09-2023,04:11:45,успешно,да,258.56
физ. лицо,получение средств,1681.37,безналичный,Брест,Белинвестбанк-VOFV-593,12-02-2011,02:11:54,успешно,нет,0.0
физ. лицо,списание средств,175.15,безналичный,Витебск,БелАгропромбанк-JPBU-100,16-12-2011,09:50:59,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,234.06,наличный,Минск,Приорбанк-EUAZ-429,17-10-2007,16:22:43,успешно,нет,0.0
физ. лицо,получение средств,4812.1,безналичный,Витебск,Приорбанк-JDWW-197,01-05-2016,00:18:27,успешно,нет,0.0
физ. лицо,получение средств,2044.86,безналичный,Минск,Белинвестбанк-SETR-562,12-04-2017,16:03:51,успешно,нет,0.0
физ. лицо,списание средств,913.33,наличный,Гомель,БелАгропромбанк-HWQF-436,20-05-2013,07:53:01,недостаточно средств,нет,0.0
физ. лицо,получение средств,3610.4,безналичный,Гродно,МаксБанк-ISWK-923,05-05-2002,17:00:17,успешно,нет,0.0
физ. лицо,списание средств,3376.62,безналичный,Гродно,Беларусбанк-NFAV-828,03-09-2022,15:55:17,успешно,нет,0.0
физ. лицо,списание средств,2307.17,наличный,Могилев,МаксБанк-BWCZ-586,22-06-2005,17:53:23,неправильный ввод пин-кода,да,78.88
физ. лицо,получение средств,4036.34,наличный,Витебск,БелАгропромбанк-CPAS-693,14-09-2016,21:14:39,успешно,нет,0.0
юр. лицо,получение средств,3662.53,наличный,Могилев,Беларусбанк-AHEL-145,14-12-2014,18:15:26,успешно,нет,0.0
физ. лицо,списание средств,623.01,наличный,Гродно,Беларусбанк-VVKJ-700,27-01-2011,23:47:01,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3587.87,наличный,Витебск,МаксБанк-WTGV-696,07-05-2023,11:22:47,успешно,нет,0.0
физ. лицо,списание средств,3998.58,безналичный,Витебск,БелАгропромбанк-ENJL-511,10-08-2002,03:34:30,успешно,да,52.84
юр. лицо,списание средств,1748.59,безналичный,Гомель,Белинвестбанк-RDKN-455,18-10-2006,00:51:43,успешно,да,98.25
физ. лицо,получение средств,3077.88,наличный,Брест,Беларусбанк-BSRS-161,09-12-2013,15:23:54,успешно,нет,0.0
физ. лицо,получение средств,2490.41,наличный,Минск,Беларусбанк-WTWC-742,14-05-2007,16:56:00,успешно,нет,0.0
физ. лицо,получение средств,3661.6,безналичный,Гомель,Приорбанк-FEJA-716,17-04-2016,18:08:28,успешно,нет,0.0
физ. лицо,получение средств,397.57,наличный,Брест,Беларусбанк-VFCY-190,15-05-2015,11:11:55,успешно,нет,0.0
юр. лицо,списание средств,4337.31,безналичный,Гомель,Белинвестбанк-NESR-664,22-11-2020,22:03:30,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,2801.37,безналичный,Брест,Беларусбанк-MWOF-511,12-01-2021,13:17:54,успешно,нет,0.0
физ. лицо,получение средств,2057.09,наличный,Гомель,БелАгропромбанк-MOPM-299,03-08-2011,22:53:42,успешно,нет,0.0
физ. лицо,списание средств,2982.22,наличный,Витебск,Приорбанк-SGIO-678,14-12-2011,20:52:36,недостаточно средств,нет,0.0
юр. лицо,списание средств,3925.57,наличный,Витебск,Беларусбанк-MENW-635,17-09-2007,07:47:49,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2067.96,безналичный,Гомель,МаксБанк-ZKSX-832,12-10-2024,04:51:01,недостаточно средств,нет,0.0
юр. лицо,получение средств,2273.7,наличный,Брест,МаксБанк-TBFI-619,20-06-2011,10:17:22,успешно,нет,0.0
физ. лицо,получение средств,1041.11,наличный,Брест,Белинвестбанк-BSXP-653,28-11-2018,17:52:26,успешно,нет,0.0
физ. лицо,списание средств,3417.24,наличный,Могилев,МаксБанк-FPVB-084,03-11-2011,16:29:43,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1095.24,наличный,Минск,Беларусбанк-MIAM-169,05-09-2018,21:00:05,успешно,нет,0.0
юр. лицо,списание средств,4213.56,наличный,Могилев,Белинвестбанк-QFLH-889,19-07-2013,05:38:39,недостаточно средств,да,404.27
физ. лицо,списание средств,701.35,наличный,Гомель,Беларусбанк-OLBQ-547,14-05-2008,16:09:28,неправильный ввод пин-кода,да,68.72
физ. лицо,получение средств,663.84,безналичный,Минск,МаксБанк-EWAP-683,26-10-2023,14:35:10,успешно,нет,0.0
юр. лицо,получение средств,3301.41,наличный,Минск,Белинвестбанк-FCMN-708,21-01-2015,16:21:31,успешно,нет,0.0
юр. лицо,получение средств,1253.39,безналичный,Витебск,Белинвестбанк-RTDX-429,25-03-2013,07:14:44,успешно,нет,0.0
физ. лицо,получение средств,1828.15,безналичный,Могилев,БелАгропромбанк-ILAF-318,16-02-2008,05:32:37,успешно,нет,0.0
физ. лицо,получение средств,4710.88,безналичный,Витебск,Приорбанк-DOKQ-084,15-01-2010,08:58:44,успешно,нет,0.0
физ. лицо,получение средств,2371.85,безналичный,Гродно,БелАгропромбанк-CQIU-408,10-08-2000,09:45:59,успешно,нет,0.0
юр. лицо,списание средств,806.14,безналичный,Гомель,Белинвестбанк-LMRZ-632,04-07-2021,19:47:47,успешно,да,15.67
физ. лицо,получение средств,1310.73,наличный,Минск,Приорбанк-KCHF-860,16-11-2006,01:16:09,успешно,нет,0.0
физ. лицо,списание средств,2376.19,наличный,Гомель,Приорбанк-ZFYD-447,01-05-2008,06:46:51,недостаточно средств,нет,0.0
юр. лицо,получение средств,2587.98,безналичный,Минск,Белинвестбанк-TIWH-474,12-07-2022,02:06:45,успешно,нет,0.0
физ. лицо,получение средств,2422.32,безналичный,Могилев,Приорбанк-DABE-048,28-10-2014,11:29:28,успешно,нет,0.0
юр. лицо,получение средств,3322.94,наличный,Витебск,Беларусбанк-VLYK-257,01-04-2008,05:56:30,успешно,нет,0.0
физ. лицо,списание средств,4720.34,наличный,Минск,Белинвестбанк-FQQL-540,28-07-2022,12:47:40,недостаточно средств,нет,0.0
юр. лицо,списание средств,4763.23,наличный,Витебск,Приорбанк-IRCJ-101,06-10-2000,07:28:22,недостаточно средств,нет,0.0
юр. лицо,получение средств,298.8,наличный,Могилев,Беларусбанк-MHFD-303,31-05-2003,14:38:58,успешно,нет,0.0
юр. лицо,получение средств,788.4,безналичный,Гомель,Беларусбанк-PJVU-534,04-05-2015,02:16:15,успешно,нет,0.0
юр. лицо,списание средств,512.27,наличный,Минск,Приорбанк-OPCZ-445,11-07-2009,17:27:12,недостаточно средств,да,24.07
физ. лицо,получение средств,94.35,наличный,Минск,МаксБанк-EQCM-435,08-05-2009,04:38:55,успешно,нет,0.0
физ. лицо,списание средств,368.19,безналичный,Гродно,Белинвестбанк-MCFR-606,15-06-2010,18:56:17,успешно,да,16.24
юр. лицо,получение средств,3321.82,безналичный,Могилев,Приорбанк-PKCW-698,24-05-2023,06:04:23,успешно,нет,0.0
физ. лицо,списание средств,703.16,наличный,Витебск,Белинвестбанк-BKHX-579,18-01-2003,10:49:00,недостаточно средств,да,54.97
физ. лицо,списание средств,1022.04,безналичный,Витебск,Белинвестбанк-XMKD-977,28-04-2015,18:03:24,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,3602.75,наличный,Брест,Беларусбанк-BGQY-901,14-01-2012,04:21:27,успешно,нет,0.0
физ. лицо,списание средств,4575.75,безналичный,Минск,Приорбанк-VUFD-464,02-08-2000,03:14:01,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2397.72,безналичный,Витебск,Приорбанк-IVMZ-677,28-02-2013,22:06:52,успешно,нет,0.0
физ. лицо,списание средств,3412.75,безналичный,Гомель,БелАгропромбанк-TRCX-914,07-08-2010,03:17:42,недостаточно средств,да,124.04
юр. лицо,получение средств,1543.2,наличный,Гродно,Белинвестбанк-NSPR-819,10-07-2023,15:19:27,успешно,нет,0.0
физ. лицо,списание средств,2966.47,наличный,Витебск,Беларусбанк-PUVR-283,30-12-2010,23:59:19,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,1903.31,безналичный,Могилев,Приорбанк-YUHD-363,23-06-2019,18:10:51,успешно,нет,0.0
физ. лицо,списание средств,2655.77,наличный,Минск,Приорбанк-CPIJ-898,15-11-2000,06:56:05,успешно,нет,0.0
юр. лицо,списание средств,143.08,безналичный,Могилев,Белинвестбанк-TRIJ-650,21-02-2007,07:48:09,успешно,нет,0.0
юр. лицо,получение средств,382.78,безналичный,Брест,Приорбанк-KQNN-768,02-05-2017,20:52:13,успешно,нет,0.0
физ. лицо,списание средств,4787.53,безналичный,Гродно,Приорбанк-ECNV-386,26-07-2024,17:09:47,неправильный ввод пин-кода,да,378.13
физ. лицо,получение средств,1583.11,наличный,Витебск,БелАгропромбанк-ADOO-435,06-12-2002,14:29:48,успешно,нет,0.0
физ. лицо,списание средств,1108.05,наличный,Минск,МаксБанк-JFOP-441,24-03-2019,22:04:08,недостаточно средств,да,80.64
физ. лицо,списание средств,2049.27,безналичный,Гродно,БелАгропромбанк-XCZT-043,02-03-2003,15:37:34,успешно,да,130.69
юр. лицо,получение средств,3698.7,безналичный,Гродно,Беларусбанк-FUPC-012,26-05-2018,16:36:35,успешно,нет,0.0
физ. лицо,получение средств,843.57,наличный,Витебск,Приорбанк-NEVL-622,22-06-2000,18:35:55,успешно,нет,0.0
юр. лицо,получение средств,915.55,наличный,Гомель,МаксБанк-ZGAW-074,01-11-2014,19:44:37,успешно,нет,0.0
юр. лицо,списание средств,1504.3,наличный,Витебск,МаксБанк-OJYC-139,26-12-2018,23:31:40,неправильный ввод пин-кода,да,90.36
юр. лицо,списание средств,1360.47,безналичный,Минск,Белинвестбанк-ZBDF-086,26-09-2003,23:47:50,неправильный ввод пин-кода,да,45.99
физ. лицо,списание средств,628.69,наличный,Брест,МаксБанк-EXNI-244,14-11-2011,19:02:45,недостаточно средств,нет,0.0
физ. лицо,списание средств,2367.73,безналичный,Гродно,Приорбанк-SUOT-191,29-03-2013,20:57:05,недостаточно средств,да,191.15
юр. лицо,списание средств,4262.63,безналичный,Гомель,МаксБанк-EWPO-794,03-04-2008,04:08:06,успешно,нет,0.0
физ. лицо,получение средств,2338.23,наличный,Минск,Беларусбанк-WILP-354,15-10-2013,21:58:39,успешно,нет,0.0
физ. лицо,списание средств,3436.7,наличный,Гомель,Приорбанк-MBQW-802,16-03-2015,14:00:50,успешно,нет,0.0
физ. лицо,получение средств,1377.3,наличный,Гродно,Беларусбанк-RALJ-786,22-03-2014,11:38:55,успешно,нет,0.0
юр. лицо,списание средств,3079.93,безналичный,Минск,Беларусбанк-OESV-820,24-07-2018,09:45:14,недостаточно средств,да,48.27
юр. лицо,получение средств,245.68,наличный,Гомель,БелАгропромбанк-IQOM-201,16-01-2021,06:18:14,успешно,нет,0.0
физ. лицо,списание средств,1997.41,безналичный,Витебск,МаксБанк-OANR-865,13-06-2024,08:11:04,недостаточно средств,да,71.55
юр. лицо,списание средств,4474.82,наличный,Могилев,Приорбанк-RWFX-373,12-10-2016,17:27:54,успешно,нет,0.0
физ. лицо,получение средств,1669.45,безналичный,Гомель,Беларусбанк-PFHD-774,25-08-2012,01:10:18,успешно,нет,0.0
юр. лицо,списание средств,4902.93,наличный,Минск,Приорбанк-JCQE-828,21-09-2019,07:59:56,неправильный ввод пин-кода,да,124.4
физ. лицо,получение средств,2146.79,безналичный,Гомель,БелАгропромбанк-VWDL-202,17-11-2016,10:01:11,успешно,нет,0.0
